ID,PLIP_score
6KP_docked_complex,0.8000
DF5_docked_complex,0.8000
IDW_docked_complex,0.8000
J8H_docked_complex,0.8000
KWP_docked_complex,0.8000
MKR_docked_complex,0.8000
QZN_docked_complex,0.8000
RPU_docked_complex,0.8000
WV2_docked_complex,0.8000
X16_docked_complex,0.8000
XV5_docked_complex,0.8000
055_docked_complex,0.6000
0MJ_docked_complex,0.6000
0S1_docked_complex,0.6000
1EL_docked_complex,0.6000
1FW_docked_complex,0.6000
1VD_docked_complex,0.6000
1VI_docked_complex,0.6000
1X5_docked_complex,0.6000
1XH_docked_complex,0.6000
222_docked_complex,0.6000
2SZ_docked_complex,0.6000
332_docked_complex,0.6000
34O_docked_complex,0.6000
3FR_docked_complex,0.6000
3KY_docked_complex,0.6000
3Q5_docked_complex,0.6000
3QT_docked_complex,0.6000
3X3_docked_complex,0.6000
4GD_docked_complex,0.6000
4PX_docked_complex,0.6000
4RZ_docked_complex,0.6000
4Z2_docked_complex,0.6000
530_docked_complex,0.6000
550_docked_complex,0.6000
561_docked_complex,0.6000
56V_docked_complex,0.6000
580_docked_complex,0.6000
5EH_docked_complex,0.6000
5XM_docked_complex,0.6000
5XP_docked_complex,0.6000
62C_docked_complex,0.6000
65C_docked_complex,0.6000
6BC_docked_complex,0.6000
6E9_docked_complex,0.6000
6IL_docked_complex,0.6000
6ND_docked_complex,0.6000
6SR_docked_complex,0.6000
6T5_docked_complex,0.6000
6UO_docked_complex,0.6000
70Z_docked_complex,0.6000
7C6_docked_complex,0.6000
7DN_docked_complex,0.6000
7L9_docked_complex,0.6000
7LL_docked_complex,0.6000
80V_docked_complex,0.6000
825_docked_complex,0.6000
87B_docked_complex,0.6000
886_docked_complex,0.6000
89O_docked_complex,0.6000
8D1_docked_complex,0.6000
8R3_docked_complex,0.6000
8U9_docked_complex,0.6000
8VB_docked_complex,0.6000
8W8_docked_complex,0.6000
9BC_docked_complex,0.6000
9N8_docked_complex,0.6000
9NQ_docked_complex,0.6000
9QL_docked_complex,0.6000
9W4_docked_complex,0.6000
A1ADG_docked_complex,0.6000
A1APG_docked_complex,0.6000
A1AU4_docked_complex,0.6000
A1AUZ_docked_complex,0.6000
A1B1M_docked_complex,0.6000
A1B3J_docked_complex,0.6000
A1BQW_docked_complex,0.6000
A1HZ6_docked_complex,0.6000
A1IE5_docked_complex,0.6000
A1IPJ_docked_complex,0.6000
A41_docked_complex,0.6000
B0X_docked_complex,0.6000
B3O_docked_complex,0.6000
B8O_docked_complex,0.6000
BJ4_docked_complex,0.6000
BRQ_docked_complex,0.6000
C3Z_docked_complex,0.6000
DEO_docked_complex,0.6000
E1S_docked_complex,0.6000
E5W_docked_complex,0.6000
EKY_docked_complex,0.6000
EL1_docked_complex,0.6000
F8Q_docked_complex,0.6000
FLV_docked_complex,0.6000
FNB_docked_complex,0.6000
FNC_docked_complex,0.6000
FZL_docked_complex,0.6000
G4Q_docked_complex,0.6000
GFO_docked_complex,0.6000
GH4_docked_complex,0.6000
GN5_docked_complex,0.6000
GNF_docked_complex,0.6000
H4I_docked_complex,0.6000
H4T_docked_complex,0.6000
HAO_docked_complex,0.6000
HBK_docked_complex,0.6000
HD2_docked_complex,0.6000
HGF_docked_complex,0.6000
HNX_docked_complex,0.6000
HRD_docked_complex,0.6000
I23_docked_complex,0.6000
I6L_docked_complex,0.6000
IIG_docked_complex,0.6000
IK4_docked_complex,0.6000
IWH_docked_complex,0.6000
IZX_docked_complex,0.6000
J08_docked_complex,0.6000
J2H_docked_complex,0.6000
J9O_docked_complex,0.6000
JER_docked_complex,0.6000
JEU_docked_complex,0.6000
JMT_docked_complex,0.6000
JP0_docked_complex,0.6000
JR5_docked_complex,0.6000
JW7_docked_complex,0.6000
