ID,SMILES,affinity,COM,RMSD,mcs_size,PLIP_sim_1MVN,PLIP_sim_1QZU_pred,Cluster
WDB,c1cc(cc(c1)Cl)CC2=Nc3cc(ccc3C(=O)N2)/C=C/C(=O)O,-9.07,0.776757690482827,6.53872390875751,5,0.6,0.8,no
87B,c1ccc(cc1)S(=O)(=O)Nc2ccc3c(c2)nc([nH]3)C4CCC4,-8.68,0.631956329336388,7.05339278499571,2,0.6,0.6,no
A1LVI,c1ccnc(c1)OCc2ccc(cc2)Cc3cc(on3)c4cccnc4N,-9.6,0.630005036392411,0.0513717724914528,4,0.4,0.6,no
V2O,CC(C)(CCOc1ccc2cc(c(c(c2c1)F)N3CC(=O)NS3(=O)=O)O)O,-9.19,0.296597121239298,1.85107171601123,14,0.4,0.6,no
YHS,Cc1cc(cc(c1)c2c3cc(ccc3no2)c4[nH]nnn4)C,-8.6,0.651269798844657,1.04367887039196,4,0.6,0.6,no
3QT,Cn1cc(cn1)c2ccc3ncc(n3n2)Cc4ccc5c(c4)cccn5,-8.51,0.90121662071813,0.774759356868561,4,0.6,0.6,no
J08,[H]/N=C(/c1ccc(cc1OCc2cccnc2)NCc3[nH]c(cn3)c4ccccc4)\N,-9.48,1.81651275914489,5.97523231049027,5,0.6,0.6,no
WNE,Cc1ccc2c(c1)N(C(=O)O2)CCCCn3c(c(nn3)CCCCC[C@H]4C5C(CS4)NC(=O)N5)F,-8.98,1.17860399370754,1.4815613448318,8,0.4,0.6,no
7L9,c1cc(cc(c1)C(=O)O)c2cc(ncc2C(=O)O)C(=O)O,-8.47,1.08378493330514,7.04570368890659,3,0.6,0.6,no
6Z1,Cc1cc(no1)C(=O)Nc2ccc(c(c2)c3cc(ccn3)C(=O)O)O,-8.64,1.04129565631046,1.08585251239318,4,0.4,0.6,2537
Y22,c1cc(ccc1CNc2c(nc3ccc(cc3n2)C(F)(F)F)C(=O)O)C(F)(F)F,-9.04,1.95323628836239,6.39968229468363,5,0.6,0.6,no
3KF,c1c2c(c(c3c1OCO3)O)C(=O)N[C@@H]4C2=C[C@@H]([C@H]([C@H]4O)O)O,-9.09,1.75252036309683,8.70615488339076,2,0.4,0.8,1541
3MR,CN(C1CCCCC1)C(=O)CC[C@@H](C2CCCCC2)N3Cc4cc(ccc4N=C3N)Oc5ccccc5,-9.31,1.70889048277162,1.73530754842691,10,0.4,0.6,no
BL6,Cc1ccc2c(c1)N=C3[C@](C2=O)(CCN3c4ccccc4)O,-9.01,1.60709028870256,0.157689569758109,4,0.4,0.6,no
T30,CC(C)n1c(nnc1C2(CC2)c3ccc(cc3)F)c4ccc(cc4)OC(F)(F)F,-8.74,1.41318752474068,1.2657494011102,9,0.4,0.6,no
9S5,C[C@@H](c1cnccn1)Nc2ncc(cn2)C(=O)N3CCC4(C3)CCOCC4,-8.31,0.37814017276404,5.23093335593061,7,0.4,1,2534
530,c1cc(c(cc1F)F)Oc2ncc3c(n2)[nH]nc3NC4CCOCC4,-9.13,2.27153329630073,7.05291888240084,2,0.6,0.6,no
67P,c1ccc(cc1)C(=O)NNC(=O)c2ccc(cc2)CNS(=O)(=O)c3ccc(c(c3)Cl)F,-8.45,1.0834239894533,6.15971843718405,5,0.4,0.6,2440
YFG,c1c(cc(c2c1N=C(NC2=O)CSC3CCC(CC3)O)F)NC4CCCC4,-8.84,0.487526353447852,0.378306547400931,4,0.4,0.4,no
RVF,c1ccc2c(c1)c(c([nH]2)C(=O)O)CNC(=O)c3ccc4c(c3)nc([nH]4)O,-8.65,2.07388722336249,6.1011450979467,6,0.6,0.6,no
V1X,c1cc(c(cc1OC(F)(F)F)NC(=O)Nc2cc(cc(c2CCO)Cl)Cl)C(=O)N,-8.51,1.87460354434451,5.37920463994625,7,0.6,0.6,no
OM6,c1cc2c(cc1O)O[C@@H](C2=O)C3CCCCC3,-8.19,1.05932104916751,8.70415911108486,2,0.6,0.6,no
OUY,COC(=O)CCc1cc2c(nc1)N(C(=O)C(=C2N)C(=O)NCc3ccc(cc3F)F)O,-8.52,1.47673308420926,1.49798004195289,8,0.4,0.6,no
A1ADG,Cc1ccccc1N2C(=Nc3ccccc3C2=O)C,-8.36,1.67554368434924,1.46109924464986,4,0.6,0.6,no
