ID,SMILES
DPN,c1ccc(cc1)C[C@H](C(=O)O)N
0G,c1nc2c(n1[C@@H]3[C@H]([C@H]([C@@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N
AHP,CCCCC[C@@H](C(=O)O)N
TYD,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[P@](=O)(O)OP(=O)(O)O)O
BEZ,c1ccc(cc1)C(=O)O
3D1,c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO)O)N
A1BS0,CSc1ccccc1CC(=O)N2CCC[C@@H](C2)C(=O)N
SEP,C([C@@H](C(=O)O)N)OP(=O)(O)O
860,c1ccc2c(c1)cncc2NC(=O)Cc3cccc(c3)Cl
TBN,c1cn(c2c1c(ncn2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
U3P,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=O)(O)O)O
OYS,c1ccc(cc1)CC(=O)Nc2ccc(cc2)S(=O)(=O)N
A1AAJ,CC(=O)N[C@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O
08O,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O
IAC,c1ccc2c(c1)c(c[nH]2)CC(=O)O
3MK,C([C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O
PMP,Cc1c(c(c(cn1)COP(=O)(O)O)CN)O
X32,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NP(=O)(CNC(=O)OCc2ccccc2)O
0QL,C(CSSC[C@@H](C(=O)O)N)N
0G8,C1[C@H](O[C@H](S1)COP(=O)(O)OP(=O)(O)O)N2C=CC(=NC2=O)N
GSH,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
S0R,CC(C)C[C@@H](C(=O)O)NC(=O)c1ccccc1
V33,COc1cccc(c1)CC(=O)O
T9V,CC(=O)Nc1ccc(cc1)OC
L6X,COc1ccc(cc1O)C(=O)O
VCP,Cc1c(c(c(cn1)COP(=O)(O)O)/C=N/[C@@H](C[C@H]2c3ccccc3NC2=O)C(=O)O)O
VI8,c1cc(cc(c1)NCc2cccnc2)C(=O)O
B3A,C[C@@H](CC(=O)O)N
ALG,[H]/N=C(\N)/NCCCC(=O)O
SIN,C(CC(=O)O)C(=O)O
1W5,c1c(c(nc(c1[N+](=O)[O-])N)O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O
PL8,Cc1c(c(c(cn1)COP(=O)(O)O)CNC2=CC=C(NC2=O)CCCO)O
ALC,C1CCC(CC1)C[C@@H](C(=O)O)N
08M,c1cnc(cn1)C(=O)NCCC[C@@H](C(=O)O)N
AAG,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O
F1C,CC(=O)Nc1cccc(c1)c2cc(cc(c2)C(=O)O)c3cccc(c3)NC(=O)C
A1D6Y,CCOC(=O)c1ccccc1C(=O)O
DBM,Cc1c2c(ncn1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)[C@@H](C)O)O)O
6L9,C([C@@H](C(=O)N)N)C(C(=O)O)C(=O)O
