ID,SMILES,affinity
008,c1ccc2c(c1)C[C@H](N(C2)C(=O)C[C@@H](Cc3ccccc3F)N)C(=O)N,-7.69
00G,c1ccn(c1)CCOc2ccc3c(c2)cc[nH]3,-7.37
00J,Cc1c(c2ccc(cc2o1)Oc3ccnc4c3ccc(c4)OCCN5CCOCC5)C(=O)NC,-7.89
00P,c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=C[C@H](N3C2=O)C(=O)NCC4CCC(CC4)N,-7.9
014,c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O,-6.99
01I,c1cc2c(cc(o2)C(=O)O)c3c1cc4cc(oc4c3)C(=O)O,-8.9
039,COc1ccccc1N2C(=Nc3cccc(c3C2=O)Cl)CSc4c5c([nH]cn5)ncn4,-7.06
03C,Cc1ccccc1n2c(c(cn2)C(=O)c3cccc(c3)C4CCN(CC4)S(=O)(=O)C)N,-7.81
03L,c1ccc(c(c1)C(=O)NCc2c(cccc2Cl)Sc3ccc(cc3Cl)Cl)C(=O)O,-7.9
03M,Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl,-8.06
041,C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O,-7.5
052,Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c3nc(cc4NCCN5CCOCC5)Oc6ccccc6,-7.66
054,c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)N4C(=O)c5cscc5NC4=O,-8.32
055,Cc1cccc(c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](c4ccccc4)C(=O)O)Cl,-8.7
057,CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3,-7.0
058,c1ccc(cc1)Cn2c3ccc(cc3c(c2C(=O)O)c4ccccc4F)Cl,-7.71
05G,Cc1cc(c(cc1S(=O)(=O)O)OC)/N=N/c2c3ccc(cc3ccc2O)S(=O)(=O)O,-7.23
05X,CN1CCC(CC1)C(=O)c2cccc(n2)NC(=O)c3c(cc(cc3F)F)F,-8.35
06N,CCCNc1nn2c(cnc2s1)c3ccc(cc3)O,-7.18
077,c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O,-7.1
07F,CC1=C(C(=O)N(C(=N1)c2cccc(c2O)F)CCc3ccccc3)Cc4ccccc4,-7.96
07H,c1ccc2c(c1)C=C(CO2)CN3CCN(CC3)C(=O)c4cccc(c4)c5ccn[nH]5,-7.95
07U,CC(C)(CNc1c2ccncc2cc(n1)c3ccncc3)N,-7.19
082,C[C@]1(C(=O)NC(=O)O1)c2cccc(c2)CN3c4ccccc4N(C3=O)c5c6ccc(cc6on5)OC,-9.76
085,c1ccnc(c1)c2c([nH]c(n2)c3ccc(cc3)C(=O)N)c4ccc5c(c4)OCO5,-7.53
08H,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,-7.29
08W,CNC(=O)c1cn(cn1)c2cc3c(cc2C(F)(F)F)NC(=O)N(C3=O)NS(=O)(=O)C,-7.36
092,COC(=O)[C@H]1C[C@@]2(CN1)c3ccccc3NC2=O,-7.35
099,c1ccc2c(c1)C[C@H]([C@H]2NC(=O)[C@H](Cc3cccc(c3)O)CC(=O)NO)O,-8.06
09K,c1cc(ccc1CC(=O)Nc2cc(n[nH]2)C3CC3)OC(F)(F)F,-7.8
0BV,c1ccc2c(c1)cc(c3c2cccc3)CC=O,-7.32
0C2,C[C@@H]1COc2c1ccc3c2c(c(n3Cc4cc(ccc4F)F)C(=O)NS(=O)(=O)C)C5=CC=CNC5=O,-7.09
0C9,c1ccc(c(c1)C(=O)O)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O,-7.67
0EU,CCNC(=O)Nc1c(c2ccccc2s1)C(=O)N3CCC(CC3)[N@]4CCC[C@@]5(C4)CC(OC5=O)(C)C,-8.06
