ID,RMSD,MCS
007,5.9531694920556975,5
008,5.820201623424221,9
00D,3.031676732415907,16
00G,1.0044923970931392,6
00J,5.466914266298156,6
00P,6.205814398050796,6
00S,6.600715726275813,5
013,1.023168035411394,4
014,7.045919196096452,3
01I,7.0462529845936315,3
022,5.798946184392723,9
024,5.90900750554648,6
02A,7.045422633688256,3
02B,1.738429495546359,4
02E,5.786901835340297,9
02G,5.574598965949144,9
02Q,4.719277003328113,9
030,7.337336854535269,4
039,0.44106278718170333,4
03A,4.000798743348546,11
03C,0.8487493135391616,4
03L,6.328132124682184,6
03M,0.42087132062248866,4
041,0.05761886284619334,3
043,4.83793781208104,7
04H,5.7988343652427625,5
04S,7.052069327606157,2
04U,7.045989858011064,3
052,7.138159563684803,8
054,7.045710873363601,3
055,6.539048180679259,8
057,1.0762305150598435,13
058,7.046080841312591,3
05G,1.7555559474968723,4
05N,0.06718956665086975,4
05Q,1.7567418854596049,4
05X,0.9134933169388585,4
06E,5.023677364293426,13
06N,6.2885985542843335,10
077,4.754124455690547,10
07C,2.2405101832698464,4
07F,2.9020252983504555,6
07H,2.4399214995169323,3
07M,1.0849034253165624,4
07T,0.7619326341637254,4
07U,2.862072506046108,12
07Y,6.590151417297057,4
082,0.3962965173822743,4
085,6.3302332950334925,3
087,1.267311945138714,4
08H,2.4081797224937023,4
08M,4.675827534972959,11
08O,2.7808424687298374,9
08W,5.482116764252225,6
092,2.0002701171706905,4
093,5.287743158689207,8
096,2.9029281496668626,8
097,5.010461950990086,20
099,4.0375577946190795,10
09K,6.125408003016496,6
09U,1.5767950448052177,4
0A2,4.513942913092066,10
0A3,6.465772844366968,9
0AB,1.2904148447472816,4
0AJ,1.8413476672253921,6
0BP,0.0,1
0BV,0.7459470359196971,5
0C2,1.1320494174921032,4
0C9,7.045553713250806,3
0CL,0.8808363683733709,8
0CP,2.443404587154376,4
0CU,0.0,1
0DF,0.9634168226626577,4
0E1,0.5776582091139278,9
0EU,6.923276462639028,9
0FI,6.848054183003807,4
0G8,5.305217317987426,8
0GI,2.151182486263473,12
0GW,1.4959417219976638,6
0GX,0.6074947500878317,9
0G,7.556590039787099,9
0H6,6.653124296005852,8
0H7,7.0896958734622215,3
0HX,1.1896233315341822,10
0I1,0.0,1
0IF,7.053257750751047,2
0IM,7.04565468030505,3
0J0,0.7120382500769038,4
0J3,7.906367201743857,5
0JD,7.045611233107871,3
0JE,3.454550820843349,11
0JK,1.400164550892996,3
0JP,1.724881841649605,4
0JQ,0.45221300305920675,9
0JW,7.380693892377795,8
0KS,5.711371428285305,5
0KW,7.007575836496375,7
0L8,7.478581647157479,4
0LC,6.330670719188892,3
0LH,6.367837583708865,8
0LR,2.169368621178185,4
0LS,2.719039676326685,4
0LV,6.704293471412467,4
0LX,4.907607836770271,13
0LY,5.826358461452592,4
0M2,2.8976532424703203,8
0M9,4.19587653666677,14
0MJ,5.633414649611652,6
0NA,5.663150450441569,5
0NC,4.798729941005369,10
0NE,6.870700385645973,5
0NK,4.495620085439856,10
0NM,7.052216016962642,3
0NN,4.935561690213047,11
0OA,4.989067459012236,12
0OE,1.315859381438318,8
0OV,3.130996045535416,4
0OW,6.327004977867932,3
0P8,6.49533742887666,14
0PF,0.8087057418059576,6
0PY,0.0,1
0Q2,1.5156742491812594,4
0QL,6.772601870136613,11
0QV,8.71398887075573,2
0RD,2.5221017790249527,4
0RF,5.118265461603464,14
0RN,0.00430674961786447,4
0RR,5.573173443016559,9
0RS,1.9447351557271735,6
0RT,2.9175905631436043,4
0S0,7.0529349114722635,2
0S1,1.1455180550373134,5
0S5,2.325649656856117,10
0S7,5.055667464212298,8
0SD,0.49550089688810034,9
0SF,5.425393428822972,11
0SU,0.637722827847315,12
0T3,0.0,1
0TA,1.366310789936668,4
0TX,3.344287582372709,14
0U0,0.7159104051257623,4
0U7,0.0,1
0UA,8.704826870837657,2
0UF,5.129905813858411,9
0UU,1.3541827041146897,4
0V6,2.7914887859694684,5
0VB,5.9420702157758045,6
0VE,5.210681795208474,13
0VG,0.2479590884860565,4
0VM,7.052611554264785,2
0VP,6.142230702801171,10
0VW,7.052950701784635,2
0W1,2.072989408203792,4
0WG,5.663652786861061,5
0WH,0.09947721921538284,4
0WO,7.007433631160666,8
0WP,4.433307024640001,10
0WQ,0.6863840095960078,7
0WV,0.8834706388926595,5
0X2,6.33422357376975,3
0XB,7.052896633907695,2
0XI,6.961349668413753,10
0XP,6.333822559644303,3
0XS,6.329717340551597,3
0YA,7.052991615268664,2
0YI,6.019234336789023,5
0YL,4.279141865682339,10
0YV,4.710436309208029,8
0Z1,5.02489454262914,12
0Z2,3.8769703382912803,17
105,5.7232692670585905,6
108,6.407398309713762,12
10T,1.4140315622199644,12
113,1.6420085378767753,4
116,5.8685165556159715,10
11D,5.203878932570221,10
11N,6.779767479776037,5
11P,8.473428678540145,5
11V,1.4438241620153303,6
11Y,7.045348780312196,3
11Z,6.061114055703891,9
12P,7.522052422716681,7
12X,2.8351372346141552,10
134,1.8884930727749758,4
136,1.4649622466930796,4
13K,4.274885444709271,4
13Q,6.676635425022722,6
13Z,4.476609022428696,13
141,0.0,1
14A,1.297991917965608,9
14K,3.3387885211714137,5
14M,1.9323493602770543,8
153,4.564095492236347,11
15A,5.163174046467018,8
15M,3.7586544022833084,15
15S,5.359155203514811,12
15W,2.8184552481676977,4
160,6.404685281575355,10
164,5.219493424624531,9
166,4.573767744163532,9
16J,0.0,1
16M,1.6898875439390373,6
16V,1.6526189800173272,9
16W,0.321833737446842,4
16Z,0.49641432961116494,4
175,4.9364340861352485,7
17K,5.206682261432658,14
17Q,3.4229410975848737,12
17Y,8.713972512212488,2
180,6.666294857105303,11
18F,0.14405802322509959,3
18S,7.9074673886185805,4
18V,3.42358000099607,8
196,8.703923728324673,2
19C,0.14010244265895838,3
19E,2.4432886608927045,4
19F,4.999881713765832,10
19H,0.949298280287075,9
19P,6.775386156442249,7
19Y,1.3007872872925037,6
1A0,0.9288334161836965,6
1A4,7.053435409438611,2
1A6,0.5801139070179706,4
1AD,5.861767980138907,5
1AE,4.592372320711819,8
1AK,0.7643798300649475,4
1AO,6.332868365850767,3
1BF,7.126301887811109,10
1BK,1.5296488890041635,9
1BM,3.4065676269868987,11
1BN,1.3108305134408722,3
1BY,5.960926548414106,7
1BZ,0.1487360689514566,4
1C3,1.9434861376519295,4
1CD,1.7386783889846893,4
1CE,0.9498018541360287,3
1CG,7.163433461123118,6
1CJ,1.0279065888627295,6
1D2,3.0493740084288183,6
1DK,6.475052613006887,6
1DV,0.13777513313944154,4
1DZ,1.071814707391099,4
1ED,0.9497295403029907,3
1EK,5.797351993866854,6
1EL,1.5023457383356758,4
1EO,8.714604595440496,2
1EP,1.7339644424730636,12
1EY,0.8013769770729566,8
1F6,6.641543861243677,10
1FG,2.8655743459708507,7
1FJ,0.04327751632513276,4
1FQ,6.950830119954249,6
1FW,6.087637532252682,8
1G0,7.054454403530378,2
1GG,6.629102672642785,6
1GI,6.775349548422027,7
1H4,7.260232955438158,13
1H8,0.406419071493465,4
1HF,8.715539842749347,2
1HW,1.9527663881648012,5
1HX,6.263183930849853,8
1IB,5.951682681086404,9
1IE,1.0388138238218758,4
1IQ,2.103348159338149,9
1IX,0.5449893661529561,4
1J6,6.672883318677637,7
1JA,1.0996367195158105,6
1JD,0.9823841513299665,9
1JN,1.2968318676935557,4
1JR,0.0,1
1JV,3.5421880456625168,12
1K6,4.312328159609417,14
1K7,5.472998525422321,10
1KF,6.948725411535652,13
1KH,5.95648123126695,12
1KQ,0.8766165784289645,4
1KS,0.5261236074615931,5
1KX,6.498849921906373,4
1L3,1.2453709743470394,9
1L4,6.170476121028627,8
1L6,1.2513948465775975,13
1LD,7.053091878814367,2
1LE,6.4634612934792655,16
1LH,7.409885572024633,20
1LI,8.292315228449738,15
1LK,5.7003752081281505,8
1M1,0.0,1
1M5,1.2375224990375302,4
1MI,4.864434987670304,14
1MO,0.3436259091669573,4
1MV,8.356349950737389,5
1MZ,0.9675796450243769,4
1N2,0.2896510912262805,6
1N4,0.5848904778692092,8
1NB,0.5665456397183438,7
1ND,0.0,1
1NS,5.272291290585675,8
1NU,0.8423129249909922,3
1O5,1.2191943894808954,6
1O6,1.3793232215095508,9
1OI,1.7101796558886349,4
1ON,1.6858739404357614e-07,1
1OQ,2.4413249040689284,3
1OU,8.305652984010214,5
1P0,6.7769770763321935,7
1P6,5.590742861815645,7
1P9,4.799142022347908,9
1PD,1.7195139475409489,13
1PF,0.752696323606029,4
1PK,7.053457680897111,2
1PN,0.9158817043012253,9
1PU,6.335431445618589,3
1Q2,4.6124898974911686,11
1Q3,7.053618638396487,2
1Q5,6.476046645452244,10
1Q9,3.0416055734278933,6
1QA,6.64628468797825,11
1QB,6.155952772501728,6
1QE,3.933842004081881,6
1QK,5.287155274273908,7
1QN,4.611878711640426,7
1QV,7.0533082647927845,2
1QZU_cleaned.pdb,1.4175173340587275,22
1R7,6.253770716665389,6
1RC,6.291734148540076,9
1RD,4.390098673725337,22
1RI,6.3286215888212825,3
1RO,6.777722058610727,5
1RY,6.104131203661385,8
1S1,5.957756890497355,9
1S5,2.1624800743224317,9
1SF,0.0,1
1SK,7.586336336095442,7
1SM,1.5545043438301436,4
1SU,5.419455597291523,6
1TH,0.32455194063425785,6
1TR,3.2317986471767433,6
1TU,0.6904835634169099,4
1U1,7.04584774783997,3
1U7,8.715500965064757,2
1UC,5.316583638645076,6
1UI,5.472295170489225,6
1UK,6.435250611791729,6
1UL,0.31059965769146286,5
1V5,6.329502441431777,3
1VD,5.246876582595309,14
1VI,4.707949609734527,9
1VJ,1.9802911613471978,6
1VL,1.5086660988343232,3
1VM,0.6419713462436524,4
1VQ,0.9610466545288815,6
1VY,5.95112121228356,13
1W2,7.053431098943489,2
1W5,7.424693215653534,9
1WO,3.6464427676166093,9
1WP,7.053717105626809,2
1WS,5.210387809830395,13
1X5,1.7974681378563087,6
1X8,6.326061784199786,3
1XG,4.387217274388835,10
1XH,0.6634445840416001,4
1XM,7.05321681641568,2
1XQ,3.1282780253895015,7
1Y3,0.951129844033358,6
1Y8,5.648922040416894,7
1Y9,0.3862920284588927,9
1YL,0.20976936771759624,4
1YM,4.64644395707893,9
1YO,1.9976017163860003,4
1YZ,1.6792095299506216,6
202,2.3511364543506783,2
203,1.6858739404357614e-07,1
209,0.4446462223343405,4
20C,2.012773478265836,4
20M,6.604226926288583,5
211,4.067708900962419,13
216,3.296286576065248,5
217,5.534582299573487,12
21H,7.455561266795159,5
21M,1.7437857906957714,6
21P,2.194638840519561,4
21U,3.776577596382752,15
222,1.2712346414129563,9
226,8.70381643599348,2
229,6.686706938492339,13
22E,1.8960878418683604,4
22J,6.3852781509622485,6
22L,0.0,1
22Q,0.8631852596230063,12
22T,0.0,1
22W,3.74545345951305,11
230,0.6349738776197899,4
235,0.7752593404227398,11
23D,4.746563545223418,6
23F,7.316585216808494,6
23J,6.252980940071355,4
23W,1.11515449563165,7
244,0.6591693353457289,4
24B,6.258621584709187,4
24F,1.3875001242163951,9
24O,4.876995435760914,15
24Y,0.6789980218854744,4
251,6.593313448450127,7
253,0.5536606039943357,4
25O,0.8354071462442598,4
